1018663475|5|A|apache/mod_autoindex/2507|00FF00
1018663724|5|M|apache/Build/2510|00FF00
1018663780|5|M|apache/Build/2513|00FF00
1018663804|5|A|apache/support/2514|00FF00
1018663870|5|A|apache/Runtime Config/2516|00FF00
1018663889|5|A|apache/support/2518|00FF00
1018663905|5|A|apache/Build/2521|00FF00
1018663925|5|A|apache/Build/2522|00FF00
1018664004|5|M|apache/Build/2522|00FF00
1018664033|5|M|apache/Platform/2523|00FF00
1018664067|5|A|apache/Build/2524|00FF00
1018664101|5|A|apache/Platform/2528|00FF00
1018664152|5|A|apache/Platform/2531|00FF00
1018664198|5|A|apache/Build/2535|00FF00
1018664262|5|A|apache/Build/2539|00FF00
1018664302|5|A|apache/mod_include/2541|00FF00
1018664325|5|M|apache/mod_autoindex/2542|00FF00
1018664343|5|M|apache/mod_expires/2543|00FF00
1018664366|5|M|apache/mod_suexec/2544|00FF00
1018664388|5|A|apache/mod_autoindex/2547|00FF00
1018664411|5|M|apache/mod_cgi/2549|00FF00
1018664435|5|A|apache/Build/2550|00FF00
1018664477|5|M|apache/mod_auth/2551|00FF00
1018664495|5|A|apache/mod_autoindex/2555|00FF00
1018664575|5|A|apache/All/2556|FFFFFF
1018664575|5|M|apache/All/2556|FF9900
1018664632|5|A|apache/All/2557|FFFFFF
1018664632|5|M|apache/All/2557|FF9900
1018693718|84|M|apache/mod_cgi/2549|FFFFFF
1018693718|84|M|apache/mod_cgi/2549|FF9900
1018707515|5|A|apache/Other Modules/2561|FFFFFF
1018707515|5|M|apache/Other Modules/2561|FF9900
1018707851|5|M|apache/support/2491|FFFFFF
1018707851|5|M|apache/support/2491|FF9900
1018707892|5|M|apache/support/2491|00FF00
1018707892|5|M|apache/support/2491|800080
1018718801|9|M|apache/Build/2522|00FF00
1018719002|9|M|apache/Build/2550|00FF00
1018802718|5|M|apache/mod_mime/2498|FFFFFF
1018802718|5|M|apache/mod_mime/2498|FF9900
1018802780|5|A|apache/Documentation/2538|FFFFFF
1018802780|5|M|apache/Documentation/2538|FF9900
1018804156|5|A|apache/Documentation/2511|FFFFFF
1018804156|5|M|apache/Documentation/2511|FF9900
1018812785|44|M|apache/mod_include/2541|00FF00
1018812785|44|M|apache/mod_include/2541|800080
1018817680|5|A|apache/Runtime Config/2564|FFFFFF
1018817680|5|M|apache/Runtime Config/2564|FF9900
1018826272|5|A|apache/Documentation/2567|FFFFFF
1018826272|5|M|apache/Documentation/2567|FF9900
1018830649|6|M|apache/Runtime Config/2516|FFFFFF
1018830649|6|M|apache/Runtime Config/2516|FF9900
1018831647|6|M|apache/support/2514|FFFFFF
1018831647|6|M|apache/support/2514|FF9900
1018839571|6|M|apache/Core/2482|FFFFFF
1018839571|6|M|apache/Core/2482|FF9900
1018849264|6|M|apache/Core/2512|800080
1018849264|32|M|apache/Core/2512|FF0000
1018851990|6|A|apache/All/2563|FFFFFF
1018851990|6|M|apache/All/2563|FF9900
1018852439|6|M|apache/Build/2506|FF0000
1018852439|6|M|apache/Build/2539|FFFFFF
1018852439|6|M|apache/Build/2539|FF9900
1018898934|5|A|apache/mod_mime/2569|FFFFFF
1018898934|5|M|apache/mod_mime/2569|FF9900
1018907778|7|A|apache/Core/2572|FFFFFF
1018907778|7|M|apache/Core/2572|FF9900
1018907778|7|M|apache/Other Modules/2559|FF0000
1018941738|98|A|apache/Build/2577|00FF00
1018941738|98|M|apache/Build/2577|0000FF
1018941738|98|M|apache/Build/2577|00FF00
1018947146|6|M|apache/Build/2506|FFFFFF
1018947146|6|M|apache/Build/2506|FF9900
1018967981|5|A|apache/Documentation/2575|FFFFFF
